word,frequency
the,230967
of,145743
or,124114
and,99482
to,92588
span,92505
jp,76938
in,60943
license,58695
any,55332
class,52602
you,51595
for,48585
quot,46953
that,44403
this,44301
work,43410
is,39889
by,39229
use,34659
var,33230
div,31348
as,30526
not,29601
color,28296
copyright,27111
such,26823
data,25694
with,25341
nbarrier,22642
works,22605
nid,22096
on,21959
derivative,21716
source,21643
code,21561
shall,21230
svg,21018
conditions,20665
font,20510
your,19615
software,19325
be,18991
under,18557
section,18358
are,18354
may,17991
if,17872
form,17844
including,17835
terms,16750
other,16521
notice,15786
from,15100
foreignobject,14734
background,14433
md,14272
contributor,13674
li,13622
text,13535
marp,13381
an,12986
width,12932
without,12196
file,12179
entity,12139
icon,12059
provided,12023
all,11894
border,11825
licensor,11549
mean,11454
but,11438
barrier,11368
display,10584
must,10377
no,10113
size,10014
notices,9942
otherwise,9762
distribution,9529
contribution,9485
content,9428
within,9427
patent,9343
td,9255
distribute,9224
liability,9191
damages,9107
href,9070
id,8959
height,8903
following,8860
padding,8708
it,8666
limited,8606
library,8594
none,8502
margin,8398
object,8188
version,7994
stroke,7984
modifications,7910
copy,7793
its,7793
whether,7659
warranties,7503
which,7414
pre,7362
part,7352
image,7279
left,7254
rights,7204
legal,7094
warranty,7066
only,7063
distributed,6936
owner,6918
fill,6884
do,6819
path,6812
name,6747
hover,6712
style,6677
cell,6578
google,6491
each,6483
free,6460
implied,6389
agreement,6356
bespoke,6350
purpose,6300
behalf,6148
have,6127
additional,6089
apache,6089
files,6043
documentation,5899
lm,5889
above,5712
xlink,5629
at,5601
required,5449
control,5443
right,5341
law,5321
layout,5252
em,5197
has,5166
unless,5164
flex,5113
writing,5096
those,5077
party,5054
top,5037
direct,5007
transform,5004
own,4993
purposes,4976
sdk,4869
non,4865
permission,4853
list,4783
thereof,4752
mod,4728
program,4718
ul,4689
align,4675
third,4669
reproduction,4662
contract,4603
their,4602
type,4598
attribution,4574
charge,4571
express,4554
submitted,4525
modify,4500
except,4466
out,4463
th,4461
http,4447
licenses,4431
applicable,4427
title,4416
mjmain,4360
com,4285
input,4227
org,4210
ui,4166
granted,4095
will,4054
modified,4044
strong,4030
indirect,4007
https,3991
means,3980
include,3963
disclaimer,3961
particular,3931
been,3929
auto,3886
either,3877
subject,3861
original,3842
footer,3826
user,3781
made,3776
contributions,3774
then,3748
end,3716
contributors,3714
names,3713
grant,3710
arising,3707
marpit,3687
box,3685
excluding,3683
url,3671
button,3663
we,3662
agreed,3656
individual,3650
limitation,3627
editor,3607
reproduce,3598
liable,3596
fitness,3583
tr,3579
merchantability,3572
permissions,3555
awesome,3539
event,3535
so,3525
communication,3524
hereby,3504
public,3494
accepting,3491
kind,3469
copies,3450
block,3410
special,3408
add,3398
authorship,3392
loss,3379
bottom,3361
document,3336
const,3316
center,3297
body,3286
agree,3272
whole,3239
position,3230
line,3211
written,3199
sell,3180
even,3179
claims,3173
make,3155
www,3132
however,3100
more,3074
against,3071
solid,3035
xml,3027
theory,3003
hidden,3002
link,3001
offer,2998
based,2994
consequential,2993
apply,2979
included,2966
return,2954
presenter,2944
label,2921
obligations,2917
family,2900
markdown,2870
tort,2869
used,2866
notebook,2864
product,2860
one,2850
renderedhtmlcommon,2850
shadow,2824
general,2811
these,2796
true,2790
active,2783
where,2766
heading,2766
basis,2762
mjmathi,2761
overflow,2760
specific,2733
grants,2721
negligence,2716
write,2707
syntax,2701
infringement,2695
cause,2688
provides,2676
can,2669
theme,2668
definition,2666
incidental,2663
container,2652
frac,2623
new,2612
royalty,2610
exclusive,2609
possibility,2607
header,2598
import,2596
advised,2572
does,2564
generated,2558
item,2557
metadata,2553
ownership,2553
ol,2532
blue,2520
trademarks,2520
was,2517
systems,2514
litigation,2510
binary,2504
derived,2501
select,2499
android,2491
redistribution,2479
support,2476
view,2456
electronic,2445
should,2442
table,2441
development,2435
worldwide,2435
information,2426
white,2417
also,2407
stated,2405
when,2394
publicly,2389
authorized,2379
redistributions,2377
percent,2376
retain,2365
min,2362
direction,2360
jupyter,2359
latex,2336
inverse,2336
mi,2335
state,2320
available,2320
cm,2317
time,2315
incorporated,2312
function,2311
bsd,2309
perpetual,2289
tabindex,2284
inclusion,2280
irrevocable,2277
intentionally,2270
licensed,2265
redistributing,2260
pertain,2258
child,2252
covered,2246
opacity,2243
using,2242
translate,2223
outputarea,2183
julia,2177
usr,2171
grid,2164
beamer,2161
radius,2157
they,2155
claim,2155
lib,2151
media,2146
homepage,2138
computer,2114
associated,2112
ubuntu,2109
permitted,2103
np,2099
png,2097
home,2093
info,2084
through,2075
img,2056
team,2053
set,2040
cursor,2038
de,2035
page,2028
service,1995
inline,1992
py,1984
sections,1981
output,1960
appendix,1958
weight,1957
divider,1955
below,1954
max,1938
focus,1917
result,1907
provide,1906
show,1883
whom,1879
modification,1875
language,1868
contents,1861
example,1854
outline,1854
mirror,1847
responsible,1844
sublicense,1840
prompt,1839
appear,1837
transparent,1788
way,1785
prior,1783
first,1776
fee,1776
services,1774
src,1770
system,1766
see,1764
important,1762
