word,score,unfamiliar,frequency
dedicated,0.016610265936338083,3,39.0
ensemble,0.0017176587072374476,4,0.0
substantial,0.0014488754492489166,1,473.0
entire,0.0013970483367021036,1,447.0
implementations,0.0011403696505128316,1,329.0
synthetic,0.0011023220810778868,1,313.0
vertices,0.000692524530980212,2,8.0
denotes,0.0006100427860060305,2,7.0
protocol,0.0004691273099036029,1,100.0
execution,0.00040999312923664156,1,85.0
traverse,0.00016490689557039316,2,1.0
assert,0.00015463466037559891,1,29.0
accessible,0.00012328964199326435,1,23.0
plateaus,0.00010735366920234047,2,0.0
topological,0.00010735366920234047,2,0.0
imperfections,0.00010735366920234047,2,0.0
in unit of,0.00010735366920234047,2,0.0
recipe,0.00010735366920234047,2,0.0
projective,0.00010735366920234047,2,0.0
permutes,0.00010735366920234047,2,0.0
pump,0.00010201052820218659,1,19.0
grasp,8.054006813980745e-05,1,15.0
merit,8.054006813980745e-05,1,15.0
vulnerable,6.443429994064517e-05,1,12.0
guarantees,5.3780748674701346e-05,1,10.0
spatial,4.850598173639978e-05,1,9.0
robust,4.328278318626325e-05,1,8.0
diagnostics,4.328278318626325e-05,1,8.0
comprising,4.328278318626325e-05,1,8.0
scalable,3.812767412537691e-05,1,7.0
emergence,3.812767412537691e-05,1,7.0
identity,3.812767412537691e-05,1,7.0
numerous,3.812767412537691e-05,1,7.0
unwieldy,3.812767412537691e-05,1,7.0
susceptible,3.306137001170605e-05,1,6.0
trivial,3.306137001170605e-05,1,6.0
feasible,2.8110123573894417e-05,1,5.0
workload,2.8110123573894417e-05,1,5.0
preset,2.8110123573894417e-05,1,5.0
leverage,2.8110123573894417e-05,1,5.0
manipulating,2.8110123573894417e-05,1,5.0
shallow,2.8110123573894417e-05,1,5.0
insensitive,2.8110123573894417e-05,1,5.0
bless,2.8110123573894417e-05,1,5.0
readily,2.8110123573894417e-05,1,5.0
sophisticated,2.8110123573894417e-05,1,5.0
distinct,2.8110123573894417e-05,1,5.0
coincide,2.8110123573894417e-05,1,5.0
invariant,2.3307612704105153e-05,1,4.0
insight,2.3307612704105153e-05,1,4.0
routines,2.3307612704105153e-05,1,4.0
derivations,2.3307612704105153e-05,1,4.0
equilibrium,2.3307612704105153e-05,1,4.0
notable,1.869764298522975e-05,1,3.0
abbreviate,1.869764298522975e-05,1,3.0
batch,1.869764298522975e-05,1,3.0
derive,1.869764298522975e-05,1,3.0
suppression,1.869764298522975e-05,1,3.0
rms,1.869764298522975e-05,1,3.0
matrices,1.4338084406368655e-05,1,2.0
denoted,1.4338084406368655e-05,1,2.0
tomography,1.4338084406368655e-05,1,2.0
adjacency,1.4338084406368655e-05,1,2.0
barren,1.4338084406368655e-05,1,2.0
unify,1.4338084406368655e-05,1,2.0
curse,1.4338084406368655e-05,1,2.0
retrieved,1.4338084406368655e-05,1,2.0
variance,1.4338084406368655e-05,1,2.0
mitigation,1.0306680973149573e-05,1,1.0
residing,1.0306680973149573e-05,1,1.0
discard,1.0306680973149573e-05,1,1.0
generality,1.0306680973149573e-05,1,1.0
resonance,1.0306680973149573e-05,1,1.0
elementary,1.0306680973149573e-05,1,1.0
indentation,1.0306680973149573e-05,1,1.0
in terms of,6.70960432514628e-06,1,0.0
the curse of,6.70960432514628e-06,1,0.0
in the literature,6.70960432514628e-06,1,0.0
cache area,6.70960432514628e-06,1,0.0
incrementally,6.70960432514628e-06,1,0.0
afterwards,6.70960432514628e-06,1,0.0
non-deterministic,6.70960432514628e-06,1,0.0
auxiliary,6.70960432514628e-06,1,0.0
cautionary,6.70960432514628e-06,1,0.0
damp,6.70960432514628e-06,1,0.0
inferring,6.70960432514628e-06,1,0.0
miscalibration,6.70960432514628e-06,1,0.0
overla,6.70960432514628e-06,1,0.0
intermediate-scale,6.70960432514628e-06,1,0.0
in this fashion,6.70960432514628e-06,1,0.0
intuition,6.70960432514628e-06,1,0.0
averaging,6.70960432514628e-06,1,0.0
be equipped with,6.70960432514628e-06,1,0.0
rigorous,6.70960432514628e-06,1,0.0
trivially,6.70960432514628e-06,1,0.0
concreteness,6.70960432514628e-06,1,0.0
the sake of,6.70960432514628e-06,1,0.0
encompassing,6.70960432514628e-06,1,0.0
instructive,6.70960432514628e-06,1,0.0
"this, in turn",6.70960432514628e-06,1,0.0
marginals,6.70960432514628e-06,1,0.0
provably,6.70960432514628e-06,1,0.0
ancilla,6.70960432514628e-06,1,0.0
extravagant quantum information,6.70960432514628e-06,1,0.0
tailoring the measurements performed,6.70960432514628e-06,1,0.0
pondering,6.70960432514628e-06,1,0.0
tunable,6.70960432514628e-06,1,0.0
serves to,6.70960432514628e-06,1,0.0
deflation,6.70960432514628e-06,1,0.0
take the form of,6.70960432514628e-06,1,0.0
non-optimal,6.70960432514628e-06,1,0.0
detuning,6.70960432514628e-06,1,0.0
counterpart,6.70960432514628e-06,1,0.0
bosonic and fermionic,6.70960432514628e-06,1,0.0
conundrum,6.70960432514628e-06,1,0.0
full-state tomography,6.70960432514628e-06,1,0.0
postprocessing,6.70960432514628e-06,1,0.0
flow from,6.70960432514628e-06,1,0.0
such that,6.70960432514628e-06,1,0.0
deposit,6.70960432514628e-06,1,0.0
spontaneous emission,6.70960432514628e-06,1,0.0
dephasing,6.70960432514628e-06,1,0.0
bypassing,6.70960432514628e-06,1,0.0
trapped-ion,6.70960432514628e-06,1,0.0
laser beams,6.70960432514628e-06,1,0.0
fundamental lower bounds assert,6.70960432514628e-06,1,0.0
setback,6.70960432514628e-06,1,0.0
succinct,6.70960432514628e-06,1,0.0
pass in,6.70960432514628e-06,1,0.0
characterize,6.70960432514628e-06,1,0.0
trade off,6.70960432514628e-06,1,0.0
suffice to,6.70960432514628e-06,1,0.0
quantum sate tomography,6.70960432514628e-06,1,0.0
benchmarking,6.70960432514628e-06,1,0.0
fidelities,6.70960432514628e-06,1,0.0
formalism,6.70960432514628e-06,1,0.0
depicted schematically,6.70960432514628e-06,1,0.0
quantized,6.70960432514628e-06,1,0.0
exotic phases of matter,6.70960432514628e-06,1,0.0
in the context of,6.70960432514628e-06,1,0.0
invariants,6.70960432514628e-06,1,0.0
unambiguously,6.70960432514628e-06,1,0.0
crucially,6.70960432514628e-06,1,0.0
prescribed,6.70960432514628e-06,1,0.0
built-in,6.70960432514628e-06,1,0.0
composable,6.70960432514628e-06,1,0.0
witnessed,6.70960432514628e-06,1,0.0
